character_male,lugar,lat,long,stops_male
Genorodano,Zaragoza,41.6488226,-0.8890853,1
Genorodano,Barcelona,41.3850639,2.1734035,2
Genorodano,Isla del Salvaje (Mediterráneo),35.831866,22.444445,3
Genorodano,Constantinopla,41.049529,29.036843,4
Genorodano,Precopi,46.160589,33.691395 ,5
Genorodano,Isla del León (Mediterráneo),34.55313,18.04801,6
Genorodano,Isla Bárbara (Mediterráneo),37.703672,5.201166,7
Genorodano,Loango,34.25,-14.99,8
Genorodano,Isla de Feliciana (Atlántico),34.54,-8.88,9
Genorodano,Sevilla,37.3890924,-5.9844589,10
Genorodano,Archilla,40.6851594,-2.9166592,11
Genorodano,Daroca,41.1144048,-1.4144344,12
Genorodano,Zaragoza,41.654856,-0.874777,13
