,lugar,lat,lon,freq,name,searched_name
1,Aetna,38,15,1,Aetna M.,Aetna
2,Africa,37553,18.2514,21,Africa,Africa
4,Aula,40.8042,14.3533,1,Aula superiore Is. Or. II 19,Aula
5,Baleares,39.5694,2.65,1,Palma,Baleares
6,Colla,40.7971,26.4206,1,Colla,Colla
7,Gallia,50,5,2,Gallia,Gallia
8,Illa,38.9068,1.4365,1,Ebusus,Illa
9,Italia,41.0803,12548,3,Italia,Italia
11,Liguria,45,9,1,Liguria,Liguria
12,Lipara,38.4674,14954,1,Lipara,Lipara
13,Lixus,35.1998,-6.1102,5, Lixus,Lixa
14,Mauritania,35945,-2.3538,12,Mauretania Tingitana,Mauritania
15,Minerva,40.5692,14.3248,1,"Minerva, T.",Minerva
16,Novi,44.95,20.2833,1,Burgenae,Novi
18,Numidia,36.5,6.5,1,Numidia,Numidia
19,Phrygia,39,30,1,Phrygia,Phrygia
20,Sardinia,41,9,10,Sardinia Ins.,Sardinia
21,Sardis,38.4883,28.0403,3,Sardis/Hyde?,Sardis
22,Seu,42.3577,1.4617,1,Urgellum,Seu
23,Sicilia,38,13.5,24,Sicilia,Sicilia
24,Siciliae,38265,15.5831,1,Traiectus,Siciliae
25,Syracusis,37.0596,15.2938,14,Syracusae/Syrakousai,Siracusa
26,Tritonia,41.6639,12.4802,1,Minerva Tritonia,Tritonia
