,lugar,lat,lon,freq,name,searched_name
2,Aegean,36.686,25.6311,1,Südliche Ägäis (Region),Aegean
3,Africa,37.553,18.2514,3,Africa,Africa
4,Aigina,37.7501,23.4237,4,Aigina,Aigina
5,Aitolia,39,21.5,1,Aetolia,Aitolia
8,Athens,37.9717,23.7265,12,Athenae,Athens
9,Babylon,32.5362,44.4208,1,Babylon,Babylon
11,Britain,53.8,-2.4,1,Britannia,Britain
12,Carthage,36.8531,10.3231,2,Carthago,Carthage
14,Chemmis,31.5,31,4,Chemmis,Chemmis
15,Cirrha,38.4289,22.4506,1,Kirra,Cirrha
16,Crete,35.2303,24.6713,2,Monastiraki [Crete],Crete
17,Crisaean Gulf,45.4207,70,2,Herodotus: The Histories (en),Crisaean Gulf
18,Delphi,38.4823,22.5012,3,Delphi,Delphi
22,Ephesus,37.9419,27.3397,1,Ephesus/Arsinoe(ia),Ephesus
24,Euphrates,32,45,7,Euphrates fl.,Euphrates
25,Greece,40,25,23,Hellas,Greece
28,Ionia,39,27,3,Ionia,Ionia
29,Ionian Sea,40,20,1,Ionium Mare,Ionian Sea
30,Ithaca,38.4419,20.6384,1,Ithaca,Ithaca
33,Libya,32,27,1,Libya,Libya
34,Locris,38.5,22,1,Locris Ozolia,Locris
35,Lower Egypt,30.4706,31.1881,1,Athribis-Atribis (Lower Egypt),Lower Egypt
36,Malea,37.3276,22.1688,1,Malea,Malea
37,Malia,39.5,27,1,Malia Pr.,Malia
39,Naucratis,30.8972,30.5925,1,Naucratis,Naucratis
40,Nile,30.5,31.5,5,Nilus fl.,Nile
41,Phoenicia,33.5,35.5,3,Phoenice,Phoenicia
43,Pelorus,38.5,16,1,Pelorus/Regium Pr.,Pelorus
44,Persia,38.4883,28.0403,7,Sardis/Hyde?,Persia
47,Phthia,39.5,22.5,1,Phthiotis,Phthia
48,Piraeus,37.9372,23.6446,1,Peiraieus/Piraeus,Piraeus
49,Poseidon,37.6503,24.0246,1,"Poseidon, T.",Poseidon
51,Sicily,38,13.5,1,Sicilia,Sicily
52,Sidon,33.5602,35.3712,2,Sidon/Col. Aurelia Pia,Sidon
53,Sparta,37.0815,22.4245,1,Sparta,Sparta
55,Thebes,38.3197,23.3173,7,Thebai/Thebae,Thebes
56,Thessaly,40.3579,24.3103,4,Thessalia,Thessaly
57,Thrace,41.9692,25.8618,1,Thrakien,Thrace
59,Zacynthus,38.5,21.5,3,Zacynthus Ins.,Zacynthus
60,Iberia,41.5,-3.5,1,Celiberia,Iberia
