lugar,lat,lon,freq,geoplace,geonameid
Alemania,51.5,10.5,1,Germany,http://sws.geonames.org/2921044
Argel,36.73225,3.08746,1,Algiers,http://sws.geonames.org/2507480
Capadocia,38.73222,35.48528,1,Kayseri,http://sws.geonames.org/308464
Cargapolia,61.3013,38.5655,7,Kargopol,http://sws.geonames.org/552465
China,35,105,1,China,http://sws.geonames.org/1814991
Condora,58.883298,60.706307,1,Werchoturje,http://sws.geonames.org/1487219
Damasco,33.5102,36.29128,1,Damascus,http://sws.geonames.org/170654
Dania,56,10,8,Denmark,http://sws.geonames.org/2623032
Egipto,27,30,2,Egypt,http://sws.geonames.org/357994
Esmolenco,54.4654,32.0224,8,Smolensk,http://sws.geonames.org/491687
España,40,-4,25,Spain,http://sws.geonames.org/2510769
Estocolmo,59.33258,18.0649,11,Stockholm,http://sws.geonames.org/2673730
Estracán,46.34968,48.04076,1,Astrakhan,http://sws.geonames.org/580497
Europa,48.69096,9.14062,1,Europe,http://sws.geonames.org/6255148
Filipinas,13,122,3,Philippines,http://sws.geonames.org/1694008
Flandres,51.05,3.71667,1,Ghent,http://sws.geonames.org/2797656
Florida,28.4502,-82.3,1,Florida,http:/sws.geonames.org/4155751
Francia,46,2,13,France,http://sws.geonames.org/3017382
Gibraltar,36.14474,-5.35257,5,Gibraltar,http://sws.geonames.org/2411585
Golfo de Narbona,43.18396,3.00141,1,Narbona,http://sws.geonames.org/2990919
Ibernia,53,-8,1,Irland,http://sws.geonames.org/2963597
India Oriental,14.6042,120.9822,2,Manila,http://sws.geonames.org/1701668
Indias,15,-75.00028,7,Caribbean Sea,http://sws.geonames.org/4563233
Inglaterra,52.16045,-0.70312,6,England,http://sws.geonames.org/6269131
Italia,42.83333,12.83333,4,Italy,http://sws.geonames.org/3175395
Japón,35.68536,139.75309,1,Japan,http://sws.geonames.org/1861060
Jerusalem,31.78199,35.21961,1,West Jerusalem,http://sws.geonames.org/7498240
Londres,51.50853,-0.12574,1,London,http://sws.geonames.org/2643743
Madrid,40.4165,-3.70256,10,Madrid,http://sws.geonames.org/3117735
Marsella,43.29695,5.38107,5,Marseille,http://sws.geonames.org/2995469
Mescora,62,36,22,Meschtschora,https://de.wikipedia.org/wiki/Meschtschora
Mosca,55.75222,37.61556,45,Moscow,http://sws.geonames.org/524901
Moscovia,55.4849,36.4259,51,Moscow (oblast),http://sws.geonames.org/524925
Navarra,42.81687,-1.64323,5,Pamplona,http://sws.geonames.org/3114472
Palmira,34.55069,38.26738,1,Palmyrene Empire,http://sws.geonames.org/8378566
París,48.85341,2.3488,7,Paris,http://sws.geonames.org/2988507
Pechelingues,51.4425,3.57361,1,Vlissingen,http://sws.geonames.org/2745392
Permia,58.01046,56.25017,1,Perm,http://sws.geonames.org/511196
Persia,32,53,3,Iran,http://sws.geonames.org/130758
Polonia,52,20,11,Poland,http://sws.geonames.org/798544
Portugal,39.6945,-8.13057,1,Portugal,http://sws.geonames.org/2264397
Prusia,52.45905,13.01582,1,Brandenburg,http://sws.geonames.org/2945356
Roma,41.89193,12.51133,15,Rome,http://sws.geonames.org/3169070
San Nicolao,63.545,36.4758,5,"Church of St. Nicholas, Unezhma",http://sws.geonames.org/479006
Sevilla,37.38283,-5.97317,1,Seville,http://sws.geonames.org/2510911
Siria,35,38,1,Syria,http://sws.geonames.org/163843
Suecia,62,15,65,Sweden,http://sws.geonames.org/2661886
Tartaria,46.16151,33.69308,1,Perekop,http://sws.geonames.org/697729
Toscana,43.41667,11,1,Tuscany,http://sws.geonames.org/3165361
Venecia,45.43713,12.33265,2,Venice,http://sws.geonames.org/3164603
