lugar,lat,lon,freq,name
Albania,41,20,5,Albania
Alcalá,40.48205,-3.35996,5,Alcalá de Henares
Alemania,51.5,10.5,1,Germany
Andalucía,36.72016,-4.42034,1,Málaga
Aragón,41.5,-0.66667,1,Aragon
Argel,36.73225,3.08746,4,Algiers
Atenas,37.97945,23.71622,2,Athens
Austria,47.33333,13.33333,4,Austria
Aviñón,43.94834,4.80892,1,Avignon
Ayamonte,37.21329,-7.40807,1,Ayamonte
Babilonia,32.54083,44.42417,3,Babylon
Barcelona,41.38879,2.15899,36,Barcelona
Beocia,38.33333,23.25,1,Boeotia
Biserta,37.27442,9.87391,,Biserta
Burgos,42.34106,-3.70184,1,Burgos
Castilla,41.66667,-4.25,10,Castille and León
Ceuta,35.89028,-5.3075,8,Ceuta
Chipre,35,33,1,Chipre
Compostela,42.88052,-8.54569,2,Santiago de Compostela
Constantinopla,41.01384,28.94966,7,Istanbul
El Cairo,30.06263,31.24967,1,El Cairo
España,40,-4,60,Spain
Europa,50.21909,7.42676,8,Western Europe
Fez,34.03313,-5.00028,8,Fes
Francia,46,2,15,France
Galicia,42.75508,-7.86621,1,Galicia
Génova,44.40478,8.94439,1,Genoa
Gibraltar,36.14474,-5.35257,1,Gibraltar
Grecia,39,22,4,Greece
Huesca,42.13615,-0.4087,3,Huesca
Hungría,47,20,1,Hungary
Ingalaterra,51.50853,-0.12574,1,London
Israel,31.5,34.75,4,Israel
Italia,42.83333,12.83333,17,Italy
Jaca,42.56898,-0.54987,2,Jaca
Japón,35.68536,139.75309,1,Japan
Jerusalén,31.76904,35.21633,10,Jerusalem
Judea,31.58333,35,2,Judaea
Lacedemonia,37.07446,22.43009,1,Sparti
Lérida,41.61674,0.62218,1,Lleida
Lesbos,39.20353,26.27655,1,Lesbos Island
Líbano,33.83333,35.83333,1,Lebanon
Lisboa,38.71667,-9.13333,2,Lisbon
Madrid,40.4165,-3.70256,13,Madrid
Marruecos,32,-6,3,Morocco
Milán,45.46427,9.18951,1,Milan
Nápoles,40.85216,14.26811,2,Naples
Navarra,42.75,-1.66667,2,Navarre
Nazaret,32.69925,35.30483,2,Nazareth
Nola,40.92606,14.52816,1,Nola
Noruega,62,10,1,Norway
Orán,35.69906,-0.63588,1,Oran
Ostia,41.73212,12.27654,1,Lido di Ostia
Palermo,38.13205,13.33561,1,Palermo
Pamplona,42.81687,-1.64323,1,Pamplona
Paris,48.85341,2.3488,1,Paris
Pastrana,37.5635,-1.44863,2,Pastrana
Perpiñán,42.69764,2.89541,1,Perpignan
Piamonte,45.07049,7.68682,1,Turin
Pirineos,42.08093,-0.32347,1,Huesca-Pirineos Airport
Pisuerga,42.86676,-4.49796,1,Cervera de Pisuerga
Portugal,39.6945,-8.13057,2,Portugal
Roma,41.89193,12.51133,17,Rome
Sagunto,39.68333,-0.26667,1,Sagunto
Salamanca,40.96882,-5.66388,3,Salamanca
Sevilla,37.38283,-5.97317,5,Seville
Sicilia,37.75,14.25,2,Sicily
Sion,31.771667,35.228611,8,Sion
Tesalia,39.5,22,3,Thessaly
Tetuán,35.57845,-5.36837,1,Tétouan
Toledo,39.8581,-4.02263,9,Toledo
Tormes,41.29245,-6.47995,3,Río Tormes
Tortosa,40.81249,0.5216,1,Tortosa
Trípol,32.87519,13.18746,1,Tripoli
Túnez,36.81897,10.16579,3,Tunis
Valencia,39.46975,-0.37739,40,Valencia
Venecia,45.43713,12.33265,1,Venice
Villafranca de Niza,43.704167,7.311667,1,Villafranca de Niza
Vizcaya,43.26271,-2.92528,1,Bilbao
Zaragoza,41.65606,-0.87734,8,Zaragoza
