lugar,lat,lon,freq
Alemania,51.5,10.5,3
Alhama,37.0009,-3.59170,2
Alicante,38.34517,-0.48149,1
Andújar,38.03922,-4.05077,1
Aragón,41.5,-0.66667,3
Aranjuez,40.03108,-3.60246,1
Argel,36.73225,3.08746,9
Badajoz,38.87789,-6.97061,2
Barcelona,41.38879,2.15899,3
Bituania,69.6489,18.95508,3
Capua,41.10519,14.21269,3
Castilla,41.66667,-4.25,4
Castilla la Vieja,41.5,-4,1
Cipres,35,33,1
Delfinado,45,5.25,1
Dinamarca,56,10,19
Escocia,56,-4,3
España,40,-4,36
Europa,50.21909,7.42676,5
Florencia,43.77925,11.24626,2
Francia,46,2,27
Frislanda,62,-7,4
Génova,44.40478,8.94439,5
Gnidos,36.686188,27.37404,1
Golandia,57.5,18.55,1
Inglaterra,52.16045,-0.70312,22
Irlanda,53,-8,6
Islanda,65,-18,1
Italia,42.83333,12.83333,17
Jaén,37.76922,-3.79028,1
Jerusalén,31.76904,35.21633,3
Lenguadoc,43.66667,3.16667,1
Lisboa,38.71667,-9.13333,20
Lombardía,45.66667,9.5,1
Luca,43.84369,10.50447,6
Madrid,40.4165,-3.70256,11
Málaga,36.72016,-4.42034,2
Malta,35.91667,14.43333,1
Mediterráneo,35.57845,20,3
Milán,45.46427,9.18951,5
Monasterio de St. Tomás (Groenlanda),60.82861,-45.78278,1
Nápoles,40.85216,14.26811,6
Noruega,62,10,7
Ocaña,39.95667,-3.4997,2
Olimpo,40.08175,22.34954,1
Orán,35.69906,-0.63588,1
Oriente,33.13906,35.85869,1
Pafos,34.77679,32.42451,1
París,48.85341,2.3488,3
Parténope,40.8509,14.25807,1
Perpiñán,42.69764,2.89541,3
Piamonte,45,8,1
Pisa,43.70853,10.4036,1
Portugal,39.6945,-8.13057,8
Prados de Madama,41.928521, 12.453507,1
Provenza,43.82883,5.78688,1
Puerta del Popolo, 41.911705, 12.476453,1
Quintanar de la Orden,39.59369,-3.04165,1
Río Jándula,38.0571,-4.10926,1
Roma,41.89193,12.51133,70
Salamanca,40.96882,-5.66388,9
Sergel,36.607,2.1887,1
Sicilia,37.75,14.25,4
Talavera,39.96348,-4.83076,17
Terrachina,41.29174,13.24359,4
Tetuán,35.57845,-5.36837,1
Toledo,39.8581,-4.02263,5
Tordesillas,41.50202,-5.00146,1
Toscana,43.41667,11,1
Transilvania,46.5,25,1
Tule,60.3962008,-1.4088929,3
Urbino,43.72621,12.63633,1
Valencia,39.46975,-0.37739,3
Valladolid,41.65518,-4.72372,1
Vélez Málaga,36.78107,-4.10266,1
Isla Bárbara,67.88333,12.98333,18
Isla de Policarpo, 54.229639,-4.532345,2
Scinta, 59.533271, -1.630522,2
