"lugar","Aethiopica","Argenis","Peregrino","Persiles","Semprilis","total","lon","lat","name","searched_name","geonameid"
"Africa",3,19,12,0,1,35,21.09375,7.1881,"Africa","Africa","http://sws.geonames.org/6255146"
"Alemania",0,0,1,3,0,4,10.5,51.5,"Germany","Alemania","http://sws.geonames.org/2921044"
"Arabia",2,0,3,1,0,6,45,25,"Arabia","Arabia","http://sws.geonames.org/6957698"
"Aragón",0,0,1,2,0,3,-0.66667,41.5,"Aragon","Aragón","http://sws.geonames.org/3336899"
"Argel",0,0,4,9,0,13,3.08746,36.73225,"Algiers","Argel","http://sws.geonames.org/2507480"
"Asia",0,0,5,0,1,6,89.29688,29.84064,"Asia","Asia","http://sws.geonames.org/6255147"
"Atenas",0,0,2,0,1,3,23.71622,37.97945,"Athens","Atenas","http://sws.geonames.org/264371"
"Barcelona",0,0,36,3,1,40,2.15899,41.38879,"Barcelona","Barcelona","http://sws.geonames.org/3128760"
"Belén",0,0,3,3,0,6,13.41053,52.52437,"Berlin","Belén","http://sws.geonames.org/2950159"
"Cartagena",0,0,1,3,0,4,-0.98623,37.60512,"Cartagena","Cartagena","http://sws.geonames.org/2520058"
"Castilla",0,0,1,1,1,3,-4.72372,41.65518,"Valladolid","Castilla","http://sws.geonames.org/3106672"
"Ciudad",0,0,1,0,6,7,-3.92907,38.98626,"Ciudad Real","Ciudad","http://sws.geonames.org/2519402"
"Constantinopla",0,0,5,0,5,10,28.94966,41.01384,"Istanbul","Constantinopla","http://sws.geonames.org/745044"
"Egipto",0,0,3,1,0,4,30,27,"Egypt","Egipto","http://sws.geonames.org/357994"
"España",0,0,44,31,35,110,-4,40,"Spain","España","http://sws.geonames.org/2510769"
"Europa",0,0,5,5,2,12,9.14062,48.69096,"Europe","Europa","http://sws.geonames.org/6255148"
"Fez",0,0,2,0,1,3,-5.00028,34.03313,"Fes","Fez","http://sws.geonames.org/2548885"
"Flandes",0,0,12,4,4,20,4.5,51,"Flanders","Flandes","http://sws.geonames.org/3337388"
"Francia",0,0,15,20,0,35,2,46,"France","Francia","http://sws.geonames.org/3017382"
"Grandes",0,0,1,0,5,6,-1,44.25,"The Landes","Grandes","http://sws.geonames.org/3007868"
"Grecia",0,0,4,0,4,8,22,39,"Greece","Grecia","http://sws.geonames.org/390903"
"Guadalupe",0,0,4,7,0,11,-5.32588,39.4508,"Guadalupe","Guadalupe","http://sws.geonames.org/2516970"
"Génova",0,0,1,5,0,6,8.94439,44.40478,"Genoa","Génova","http://sws.geonames.org/3176219"
"Huesca",0,0,3,0,2,5,-0.4087,42.13615,"Huesca","Huesca","http://sws.geonames.org/3120514"
"Indias",0,0,2,1,0,3,-5.99304,37.38469,"General Archive of the Indies","Indias","http://sws.geonames.org/7603009"
"Italia",0,3,17,14,2,36,12.83333,42.83333,"Italy","Italia","http://sws.geonames.org/3175395"
"Jerusalén",0,0,10,2,0,12,35.21633,31.76904,"Jerusalem","Jerusalén","http://sws.geonames.org/281184"
"Libia",0,0,1,1,0,2,17,28,"Libya","Libia","http://sws.geonames.org/2215636"
"Lisboa",0,0,2,18,0,20,-9.13333,38.71667,"Lisbon","Lisboa","http://sws.geonames.org/2267057"
"Madrid",0,0,13,10,0,23,-3.70256,40.4165,"Madrid","Madrid","http://sws.geonames.org/3117735"
"Marte",0,0,2,1,4,7,13.87278,12.40959,"Marte","Marte","http://sws.geonames.org/8659830"
"Mauritania",0,12,0,0,2,14,-10.5,20.25,"Mauritania","Mauritania","http://sws.geonames.org/2378080"
"Milán",0,0,1,2,0,3,9.18951,45.46427,"Milan","Milán","http://sws.geonames.org/3173435"
"Noruega",0,0,1,2,0,3,10,62,"Norway","Noruega","http://sws.geonames.org/3144096"
"Nápoles",0,0,2,6,0,8,14.26811,40.85216,"Naples","Nápoles","http://sws.geonames.org/3172394"
"Oriente",0,0,0,1,1,2,35.85869,33.13906,"Middle East","Oriente","http://sws.geonames.org/6269133"
"Orán",0,0,1,1,0,2,-0.63588,35.69906,"Oran","Orán","http://sws.geonames.org/2485926"
"Pamplona",0,0,1,0,2,3,-1.64323,42.81687,"Pamplona","Pamplona","http://sws.geonames.org/3114472"
"Perpiñán",0,0,1,3,0,4,2.89541,42.69764,"Perpignan","Perpiñán","http://sws.geonames.org/2987914"
"Pomponio",0,0,1,0,2,3,18.25833,40.40278,"Masseria Pomponio","Pomponio","http://sws.geonames.org/3209265"
"Portugal",0,0,2,6,0,8,-8.13057,39.6945,"Portugal","Portugal","http://sws.geonames.org/2264397"
"Roma",0,0,15,70,3,88,12.51133,41.89193,"Rome","Roma","http://sws.geonames.org/3169070"
"Salamanca",0,0,3,9,0,12,-5.66388,40.96882,"Salamanca","Salamanca","http://sws.geonames.org/3111108"
"San Pedro",0,0,1,1,0,2,-6.6363,4.74851,"San-Pédro","San Pedro","http://sws.geonames.org/2282006"
"Santiago",0,0,0,1,1,2,-8.54569,42.88052,"Santiago de Compostela","Santiago","http://sws.geonames.org/3109642"
"Sicilia",0,24,2,2,0,28,14.25,37.75,"Sicily","Sicilia","http://sws.geonames.org/2523119"
"Sierra Morena",0,0,1,1,0,2,-5,38,"Sierra Morena","Sierra Morena","http://sws.geonames.org/2513552"
