"lugar","Aethiopica","Argenis","Peregrino","Persiles","Semprilis","total","lon","lat"
"Africa",0.0111940298507463,0.172727272727273,0.0214285714285714,0,0.00420168067226891,0.20955155467886,21.09375,7.1881
"Alemania",0,0,0.00178571428571429,0.00767263427109974,0,0.00945834855681403,10.5,51.5
"Arabia",0.00746268656716418,0,0.00535714285714286,0.00255754475703325,0,0.0153773741813403,45,25
"Aragón",0,0,0.00178571428571429,0.0051150895140665,0,0.00690080379978079,-0.66667,41.5
"Argel",0,0,0.00714285714285714,0.0230179028132992,0,0.0301607599561563,3.08746,36.73225
"Asia",0,0,0.00892857142857143,0,0.00420168067226891,0.0131302521008403,89.29688,29.84064
"Atenas",0,0,0.00357142857142857,0,0.00420168067226891,0.00777310924369748,23.71622,37.97945
"Barcelona",0,0,0.0642857142857143,0.00767263427109974,0.00420168067226891,0.0761600292290829,2.15899,41.38879
"Belén",0,0,0.00535714285714286,0.00767263427109974,0,0.0130297771282426,13.41053,52.52437
"Cartagena",0,0,0.00178571428571429,0.00767263427109974,0,0.00945834855681403,-0.98623,37.60512
"Castilla",0,0,0.00178571428571429,0.00255754475703325,0.00420168067226891,0.00854493971501645,-4.72372,41.65518
"Ciudad",0,0,0.00178571428571429,0,0.0252100840336134,0.0269957983193277,-3.92907,38.98626
"Constantinopla",0,0,0.00892857142857143,0,0.0210084033613445,0.0299369747899159,28.94966,41.01384
"Egipto",0,0,0.00535714285714286,0.00255754475703325,0,0.00791468761417611,30,27
"España",0,0,0.0785714285714286,0.0792838874680307,0.147058823529412,0.304914139568871,-4,40
"Europa",0,0,0.00892857142857143,0.0127877237851662,0.00840336134453781,0.0301196565582754,9.14062,48.69096
"Fez",0,0,0.00357142857142857,0,0.00420168067226891,0.00777310924369748,-5.00028,34.03313
"Flandes",0,0,0.0214285714285714,0.010230179028133,0.0168067226890756,0.04846547314578,4.5,51
"Francia",0,0,0.0267857142857143,0.051150895140665,0,0.0779366094263793,2,46
"Grandes",0,0,0.00178571428571429,0,0.0210084033613445,0.0227941176470588,-1,44.25
"Grecia",0,0,0.00714285714285714,0,0.0168067226890756,0.0239495798319327,22,39
"Guadalupe",0,0,0.00714285714285714,0.0179028132992327,0,0.0250456704420898,-5.32588,39.4508
"Génova",0,0,0.00178571428571429,0.0127877237851662,0,0.0145734380708805,8.94439,44.40478
"Huesca",0,0,0.00535714285714286,0,0.00840336134453781,0.0137605042016807,-0.4087,42.13615
"Indias",0,0,0.00357142857142857,0.00255754475703325,0,0.00612897332846182,-5.99304,37.38469
"Italia",0,0.0272727272727273,0.0303571428571429,0.0358056265984655,0.00840336134453781,0.101838858072874,12.83333,42.83333
"Jerusalén",0,0,0.0178571428571429,0.0051150895140665,0,0.0229722323712094,35.21633,31.76904
"Libia",0,0,0.00178571428571429,0.00255754475703325,0,0.00434325904274754,17,28
"Lisboa",0,0,0.00357142857142857,0.0460358056265985,0,0.0496072341980271,-9.13333,38.71667
"Madrid",0,0,0.0232142857142857,0.0255754475703325,0,0.0487897332846182,-3.70256,40.4165
"Marte",0,0,0.00357142857142857,0.00255754475703325,0.0168067226890756,0.0229356960175374,13.87278,12.40959
"Mauritania",0,0.109090909090909,0,0,0.00840336134453781,0.117494270435447,-10.5,20.25
"Milán",0,0,0.00178571428571429,0.0051150895140665,0,0.00690080379978079,9.18951,45.46427
"Noruega",0,0,0.00178571428571429,0.0051150895140665,0,0.00690080379978079,10,62
"Nápoles",0,0,0.00357142857142857,0.0153452685421995,0,0.0189166971136281,14.26811,40.85216
"Oriente",0,0,0,0.00255754475703325,0.00420168067226891,0.00675922542930216,35.85869,33.13906
"Orán",0,0,0.00178571428571429,0.00255754475703325,0,0.00434325904274754,-0.63588,35.69906
"Pamplona",0,0,0.00178571428571429,0,0.00840336134453781,0.0101890756302521,-1.64323,42.81687
"Perpiñán",0,0,0.00178571428571429,0.00767263427109974,0,0.00945834855681403,2.89541,42.69764
"Pomponio",0,0,0.00178571428571429,0,0.00840336134453781,0.0101890756302521,18.25833,40.40278
"Portugal",0,0,0.00357142857142857,0.0153452685421995,0,0.0189166971136281,-8.13057,39.6945
"Roma",0,0,0.0267857142857143,0.179028132992327,0.0126050420168067,0.218418889294848,12.51133,41.89193
"Salamanca",0,0,0.00535714285714286,0.0230179028132992,0,0.0283750456704421,-5.66388,40.96882
"San Pedro",0,0,0.00178571428571429,0.00255754475703325,0,0.00434325904274754,-6.6363,4.74851
"Santiago",0,0,0,0.00255754475703325,0.00420168067226891,0.00675922542930216,-8.54569,42.88052
"Sicilia",0,0.218181818181818,0.00357142857142857,0.0051150895140665,0,0.226868336267313,14.25,37.75
"Sierra Morena",0,0,0.00178571428571429,0.00255754475703325,0,0.00434325904274754,-5,38
"Tetuán",0,0,0.00178571428571429,0.00255754475703325,0,0.00434325904274754,-5.36837,35.57845
"Toledo",0,0,0.0160714285714286,0.00767263427109974,0.0126050420168067,0.036349104859335,-4.02263,39.8581
"Valencia",0,0,0.0714285714285714,0.00767263427109974,0,0.0791012056996711,-0.37739,39.46975
"Vizcaya",0,0,0.00178571428571429,0,0.00420168067226891,0.0059873949579832,-2.92528,43.26271
