"shapeid","x","y"
"0","18.7927136375","54.6074181727"
"0","18.4081473783","54.7701657117"
"0","18.4077349561","54.7289737708"
"0","18.4578922142","54.7020385088"
"0","18.507534576","54.6517000034"
"0","18.5526146239","54.5780884829"
"0","18.593647254","54.4531908858"
"0","18.7004529995","54.3915703793"
"0","18.8809345824","54.3523170708"
"0","19.0499220042","54.3806591817"
"0","19.2655495235","54.3999747752"
"0","19.4361559124","54.446846229"
"0","19.6115013677","54.501920509"
"0","19.7252389603","54.5624166069"
"0","19.8223898206","54.6324249434"
"0","19.9005844156","54.6762903113"
"0","19.8816281501","54.6461379576"
"0","19.5878060359","54.4771462587"
"0","19.5119809742","54.4523569939"
"0","19.3863957157","54.4192812776"
"0","19.2750276563","54.3599538123"
"0","19.2797667226","54.2687261106"
"0","19.324787853","54.2521175211"
"0","19.4077215143","54.2853280106"
"0","19.4716989101","54.267342317"
"0","19.5072419078","54.2590385798"
"0","19.5570021046","54.3350935863"
"0","19.6517834317","54.3709979752"
"0","19.9242797473","54.521178993"
"0","19.9764094773","54.521178993"
"0","20.0190610745","54.5074238595"
"0","20.0854080035","54.5706591294"
"0","20.1459573577","54.5990025899"
"0","20.2259260747","54.6229379341"
"0","20.4019330978","54.664188239"
"0","20.4508453674","54.6949086159"
"0","20.3698181418","54.6846212414"
"0","20.2474624547","54.6850987973"
"0","20.0921317733","54.6632449282"
"0","20.0399358866","54.6977162144"
"0","19.9685852641","54.7356143179"
"0","19.9344856047","54.8085037725"
"0","19.9256690398","54.871659216"
"0","19.9719350381","54.9456802757"
"0","20.1826790665","54.9601361886"
"0","20.4890644602","54.9521618966"
"0","20.5680650475","54.9924890374"
"0","20.7795368005","55.1401484068"
"0","21.0264975054","55.3732509894"
"0","21.0696783569","55.5743227679"
"0","21.0659316422","55.7462437843"
"0","21.1316170034","55.6176237567"
"0","21.1121314837","55.4436225571"
"0","21.0077397103","55.2580425236"
"0","20.6029585883","54.9449823656"
"0","20.7370175168","54.9441964851"
"0","20.9165727842","54.9109868693"
"0","21.0542041789","54.8976334641"
"0","21.1784784128","54.9107046671"
"0","21.1848713987","55.0485947221"
"0","21.2409463136","55.24671396"
"0","21.2701745931","55.4161248384"
"0","21.0995682042","55.8920404723"
"0","20.938439948","56.2623031104"
"0","21.1161428255","56.8952810018"
"0","21.3894209115","57.0401139191"
"0","21.3636327846","57.2749478758"
"0","21.6988741945","57.5895935118"
"0","22.0889966823","57.6298757889"
"0","22.2998336882","57.6846351228"
"0","22.4813423158","57.7483586178"
"0","22.6241788894","57.7524374445"
"0","22.5990119814","57.6870936139"
"0","22.6398122409","57.6063429701"
"0","22.7203288988","57.5530247076"
"0","23.1455711292","57.3302810819"
"0","23.2741430334","57.0902585883"
"0","23.7792373389","56.9608409889"
"0","23.9829697222","57.0055326187"
"0","24.3105824135","57.1528083946"
"0","24.3901496674","57.4529376964"
"0","24.3664068654","57.9193993234"
"0","24.4614730138","58.1357150731"
"0","24.5953061566","58.2961642955"
"0","24.4821382063","58.361579355"
"0","24.2817682537","58.3423101307"
"0","24.1294535475","58.2523506002"
"0","23.7571480404","58.3324510179"
"0","23.6533632825","58.4576029883"
"0","23.4812378472","58.6465591206"
"0","23.6817027403","58.7503439121"
"0","23.4233247066","58.868073889"
"0","23.3743200562","58.9373084667"
"0","23.4406669852","59.0057073821"
"0","23.4596232507","59.1177826116"
"0","23.6498703943","59.0647433805"
"0","23.8284560786","59.0827234869"
"0","24.104176391","59.0971322882"
"0","24.3359834685","59.1508354665"
"0","24.5588770035","59.1568390967"
"0","24.7077193332","59.1842801148"
"0","24.8404283481","59.2356039078"
"0","25.032988677","59.2350657259"
"0","25.3742014548","59.2834939131"
"0","25.5120263963","59.2915346175"
"0","25.9785086698","59.252367233"
"0","26.2888190467","59.2247785968"
"0","26.5987145987","59.1671973248"
"0","26.6908578039","59.1187390444"
"0","26.7867134865","59.0455316597"
"0","26.8821543441","58.9833662753"
"0","26.8784418667","58.9037086072"
"0","27.1504248878","58.6844540586"
"0","27.2262499496","58.4325749392"
"0","27.4168869593","58.206859116"
"0","27.4977435595","58.0694856377"
"0","27.6125524494","57.8522668696"
"0","27.434919974","57.7411535971"
"0","27.3699078094","57.6333227767"
"0","27.4936634141","57.5975919819"
"0","27.6791168613","57.5730697326"
"0","27.8028724659","57.5669807623"
"0","27.8411449163","57.525786646"
"0","28.0791779929","57.5108990986"
"0","28.1427504792","57.4321239998"
"0","28.0258785244","57.340923239"
"0","27.9526854686","57.2270536594"
"0","27.9550932787","57.0790538187"
"0","27.8098429747","56.9491959789"
"0","28.0222040718","56.8171256717"
"0","28.1536133946","56.6939905875"
"0","28.244297923","56.5589653308"
"0","28.2089430343","56.4790270913"
"0","28.759195403","56.3272535301"
"0","29.4244698995","56.2374504889"
"0","30.0157131123","56.1329819225"
"0","30.4788685086","56.0017017268"
"0","31.0667787868","55.8628118853"
"0","30.968664525","55.4536682395"
"0","30.9716628395","55.2082470185"
"0","30.9675660408","54.9955327547"
"0","30.9775534162","54.7856246747"
"0","31.5943446571","54.2695694622"
"0","31.9743577845","54.1628831864"
"0","32.583561258","53.4631607462"
"0","31.6242170867","53.1138769634"
"0","31.3412588065","52.8566167134"
"0","31.467546802","52.6180437761"
"0","31.4612716006","52.3562514843"
"0","31.6495792146","52.2266640086"
"0","31.9128230482","51.8989646349"
"0","32.2260656217","51.7633512056"
"0","32.8197237295","51.7307999297"
"0","33.1146048925","51.7249253652"
"0","33.3937327213","51.7276333286"
"0","33.5794649242","51.6394606134"
"0","33.8455454909","51.6161564847"
"0","33.9593157488","51.560771608"
"0","34.2931289459","51.4147201707"
"0","34.321563344","51.3081927187"
"0","34.3854001924","51.123621491"
"0","34.6603967023","50.977670185"
"0","34.9575524088","50.6683148457"
"0","35.1787523925","50.5484838005"
"0","35.4668614949","50.3528934093"
"0","35.9064900597","50.1015639037"
"0","36.5370669802","49.7407091991"
"0","36.899615443","49.2863409972"
"0","36.6531839923","48.9264577989"
"0","36.0465834984","48.5388660165"
"0","35.4189736834","47.9496124025"
"0","35.4200457405","47.3838880607"
"0","34.8240982306","47.3297185967"
"0","34.2574633233","47.2167173597"
"0","33.5626283748","47.3518977156"
"0","32.7671495785","47.3949717807"
"0","32.2677398048","47.5337552323"
"0","31.8316641954","47.78350137"
"0","31.1816419469","47.9391870033"
"0","30.5463562448","47.9566170107"
"0","29.9393555118","48.0123668085"
"0","29.5257096938","47.7984138772"
"0","29.5283012968","47.3399079535"
"0","28.8893790002","47.6213575048"
"0","28.6353680659","48.1630595032"
"0","27.8392049177","48.4770333208"
"0","27.5794370752","48.5009460514"
"0","27.4172045982","48.6285517905"
"0","27.2994227985","48.6374622023"
"0","27.2178129299","48.5898470842"
"0","27.0971129383","48.5798985421"
"0","26.7019931451","48.5654816426"
"0","26.6463019409","48.524094908"
"0","26.5020384691","48.5533018827"
"0","26.1935164229","48.5752878423"
"0","25.7154188372","48.4886364473"
"0","25.5637687138","48.413198712"
"0","25.3362935286","48.3628446186"
"0","25.0140370162","48.1735729041"
"0","24.919255689","47.9455211717"
"0","24.8623868927","47.8183891216"
"0","24.653867973","48.0976679013"
"0","24.3884802569","48.3250463495"
"0","24.1989176026","48.4886364473"
"0","23.7250109667","48.6642221276"
"0","22.9857166148","48.8267201217"
"0","22.8530227568","48.9389110277"
"0","22.3412035901","49.1005204029"
"0","22.0568596086","49.2492327143"
"0","21.6019092382","49.4221659815"
"0","21.1848713987","49.4098337526"
"0","21.0142650098","49.2863409972"
"0","20.9573962135","49.2120965187"
"0","20.9005274172","49.3234213729"
"0","20.7299210283","49.1749324052"
"0","20.5024458431","49.0011305818"
"0","20.4645333122","49.1253368166"
"0","20.4834895776","49.3110643481"
"0","20.3507957196","49.434495112"
"0","20.1801893307","49.3851599981"
"0","20.1233205344","49.2120965187"
"0","20.1233205344","49.0881075404"
"0","19.8958453492","49.1501408169"
"0","19.801064022","49.1501408169"
"0","19.6304576331","49.2492327143"
"0","19.7062826949","49.4837806525"
"0","19.668370164","49.5576160423"
"0","19.4029824479","49.5084048369"
"0","19.1565509973","49.3728184722"
"0","18.8153382195","49.3234213729"
"0","18.9101195467","49.5330166329"
"0","19.0428134047","49.8273925209"
"0","19.1755072627","50.0713454146"
"0","19.099682201","50.2292525566"
"0","19.0049008738","50.3624592185"
"0","19.0807259356","50.543503926"
"0","19.099682201","50.6157278912"
"0","18.9290758121","50.69984924"
"0","18.7016006269","50.8317356427"
"0","18.5689067689","50.9871223306"
"0","18.4172566454","51.0824871919"
"0","18.1708251948","51.1181984279"
"0","18.0002188059","51.1181984279"
"0","17.9243937441","51.2489037102"
"0","17.9054374787","51.3437294002"
"0","17.7537873552","51.5445840809"
"0","17.4883996392","51.627032302"
"0","17.2040556577","51.6034909333"
"0","17.0334492688","51.5799373531"
"0","16.9197116762","51.5445840809"
"0","16.692236491","51.7445560545"
"0","16.4647613058","51.7445560545"
"0","16.256242386","51.7445560545"
"0","16.2183298551","51.8500667059"
"0","16.2372861205","51.9786890639"
"0","15.9339858736","52.2348294954"
"0","15.7444232193","52.3970625778"
"0","15.5738168304","52.5356464997"
"0","15.5359042995","52.6852870553"
"0","15.7823357501","52.7943165733"
"0","16.1140703952","52.7885849762"
"0","16.2088517224","52.8973562358"
"0","16.2183298551","53.1197707025"
"0","16.3415455804","53.2957449088"
"0","16.388936244","53.3749803873"
"0","16.3415455804","53.4597122697"
"0","16.4837175712","53.4822789311"
"0","16.6164114292","53.4822789311"
"0","16.4837175712","53.5780534299"
"0","16.3320674477","53.6623805553"
"0","16.2751986514","53.7577477433"
"0","16.4458050403","53.8417158283"
"0","16.5974551638","53.8025516451"
"0","16.7206708891","53.673611446"
"0","16.8059740836","53.5893067813"
"0","16.8723210126","53.504833595"
"0","17.0997961978","53.5555377379"
"0","17.1661431268","53.6623805553"
"0","17.1661431268","53.7072861603"
"0","17.0050148706","53.9589888485"
"0","17.0713617996","54.0592467409"
"0","17.2893588521","54.0703715999"
"0","17.5357903027","54.1148412403"
"0","17.7158748244","54.1537130827"
"0","17.7822217534","54.081493479"
"0","17.9054374787","54.1259512033"
"0","17.9243937441","54.2424260874"
"0","17.8201342842","54.4027334035"
"0","18.0476094694","54.4964164174"
"0","18.3035190528","54.6612169318"
"0","18.2371721238","54.8308113339"
"0","18.3030477131","54.8494559323"
"0","18.3879102896","54.8372027619"
"0","18.7947760356","54.6080271867"
