,lugar,lat,lon,freq,name,searched_name
6,Atenas,37.97945,23.71622,2,Athens,Atenas
8,Barcelona,41.38879,2.15899,1,Barcelona,Barcelona
10,Calahorra,42.30506,-1.96521,2,Calahorra,Calahorra
11,Campania,40.92849,14.20197,1,Giugliano in Campania,Campania
13,Castilla,41.66667,-4.25,1,Castille and León,Castilla
14,Cataluña,42,2,1,Catalonia,Cataluña
16,Chipre,35,33,1,Cyprus,Chipre
19,Constantinopla,41.01384,28.94966,5,Istanbul,Constantinopla
20,Cracovia,50.06143,19.93658,1,Krakow,Cracovia
23,Daroca,41.11475,-1.41492,1,Daroca,Daroca
24,Ebro,42.6865,-2.94695,4,Miranda de Ebro,Ebro
25,Egion,46.28507,9.25262,2,"Egion, Bocchetta d’",Egion
27,España,40,-4,35,Spain,España
29,Europa,50.21909,7.42676,2,Western Europe,Europa
30,Fez,34.03313,-5.00028,1,Fes,Fez
32,Gnesna,52.53481,17.58259,1,Gniezno,Gnesna
34,Grecia,39,22,4,Greece,Grecia
37,Huesca,42.13615,-0.4087,2,Huesca,Huesca
39,Italia,42.83333,12.83333,2,Italy,Italia
40,Larache,35.174427,-6.147396,3,Larache,Alarache
41,Lisso,37.30125,26.7581,1,Nisí Leipsoí,Lisso
49,Napoles,40.85216,14.26811,1,Naples,Napoles
50,Oriente,33.13906,35.85869,1,Middle East,Oriente
52,Pamplona,42.81687,-1.64323,2,Pamplona,Pamplona
56,Polonia,52,20,33,Poland,Polonia
60,Roma,41.89193,12.51133,3,Rome,Roma
63,Taraçona,41.90475,-1.72678,2,Tarazona,Taraçona
64,Tarragona,41.11667,1.25,2,Tarragona,Tarragona
68,Toledo,39.8581,-4.02263,3,Toledo,Toledo
69,Tracia,40.94671,25.33447,1,East Macedonia and Thrace,Tracia
70,Vizcaya,43.26271,-2.92528,1,Bilbao,Vizcaya
73,Çaragoça,41.65606,-0.87734,4,Zaragoza,Çaragoça
