lugar,lat,lon,freq
Barcelona,41.38879,2.15899,1
Campania,40.92849,14.20197,1
Castilla,41.66667,-4.25,1
Cataluña,42,2,1
Chipre,35,33,1
Cracovia,50.06143,19.93658,1
Daroca,41.11475,-1.41492,1
Fez,34.03313,-5.00028,1
Gnesna,52.53481,17.58259,1
Lisso,37.30125,26.7581,1
Napoles,40.85216,14.26811,1
Oriente,33.13906,35.85869,1
Tracia,40.94671,25.33447,1
Vizcaya,43.26271,-2.92528,1
Atenas,37.97945,23.71622,2
Calahorra,42.30506,-1.96521,2
Egion,46.28507,9.25262,2
Europa,50.21909,7.42676,2
Huesca,42.13615,-0.4087,2
Italia,42.83333,12.83333,2
Pamplona,42.81687,-1.64323,2
Taraçona,41.90475,-1.72678,2
Tarragona,41.11667,1.25,2
Larache,35.174427,-6.147396,3
Roma,41.89193,12.51133,3
Toledo,39.8581,-4.02263,3
Ebro,42.6865,-2.94695,4
Grecia,39,22,4
Çaragoça,41.65606,-0.87734,4
Loango,34.25,-14.99,4
Constantinopla,41.01384,28.94966,5
Polonia,52,20,33
España,40,-4,35
